[2025-03-06 10:57:23.972][thread 7892][info][EsLogInit.cpp:131] etmc log started
[2025-03-06 10:57:23.972][thread 7892][info][EtKmOperate.cpp:149]SQLITE_TEMP_STORE = 2
[2025-03-06 10:57:23.972][thread 7892][info][EtKmOperate.cpp:152]SQLite threadsafe mode: 1
[2025-03-06 10:57:23.972][thread 7892][info][EtKmOperate.cpp:154]SQLite is compiled in multi-thread mode.
[2025-03-06 10:59:07.695][thread 14980][info][EsLogInit.cpp:131] etmc log started
[2025-03-06 10:59:07.695][thread 14980][info][EtKmOperate.cpp:149]SQLITE_TEMP_STORE = 2
[2025-03-06 10:59:07.695][thread 14980][info][EtKmOperate.cpp:152]SQLite threadsafe mode: 1
[2025-03-06 10:59:07.695][thread 14980][info][EtKmOperate.cpp:154]SQLite is compiled in multi-thread mode.
[2025-03-06 10:59:08.950][thread 12660][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 8436][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 8436][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 12660][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 8436][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 12660][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 32112][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 25956][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 42052][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 21308][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 32112][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 32112][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 42052][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 42052][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 26124][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 25956][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 25956][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 21308][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 21308][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 34644][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 22240][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 34644][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 41192][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 34644][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 31304][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 26124][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 26124][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 22240][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 22240][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 31304][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 31304][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 41192][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 41192][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 7428][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 7428][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 7428][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 36468][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 8896][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 36468][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 8896][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 36468][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 8896][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 25940][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 25940][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 25940][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 42528][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 42528][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 42528][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 43148][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 43148][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 43148][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 25064][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 25064][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 25064][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 7256][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 7256][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 7256][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 8688][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 40936][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 8688][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 8688][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 40936][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 40936][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 29444][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 29444][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 29444][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 26436][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 26436][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 26436][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 12100][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 12100][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 12100][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 7836][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 7836][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 7836][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 20264][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 20264][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 34716][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 20264][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 34716][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 34716][info][EtSimuDeviceTest.cpp:1117]    KeyAgreementTest: MultiThread Test failed!!!, result = 1
[2025-03-06 10:59:08.950][thread 12788][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
[2025-03-06 10:59:08.950][thread 12788][error][EtSimuDevice.cpp:348]!!!Error!!!, u32Result = 0x000138B3
